_id,name,category_code,founded_year
5a5c533c942d09e481c157e7,Vidyo,messaging,2005
5a5c533c942d09e481c157e8,WeGame,web,1840
5a5c533c942d09e481c157e9,Fraud Sciences,security,
5a5c533c942d09e481c157ea,Intronis,enterprise,2003
5a5c533c942d09e481c157eb,IRSeeK,search,
5a5c533c942d09e481c157ec,CrossLoop,web,2006
5a5c533c942d09e481c157ed,TringMe,web,2007
5a5c533c942d09e481c157ee,SocialPicks,web,2006
5a5c533c942d09e481c157ef,iMemories,enterprise,2006
5a5c533c942d09e481c157f0,eventsbot,web,2007
5a5c533c942d09e481c157f1,Criticker,web,2005
5a5c533c942d09e481c157f2,Dapper,advertising,2006
5a5c533c942d09e481c157f3,Trezr,web,
5a5c533c942d09e481c157f4,expensr,web,
5a5c533c942d09e481c157f5,ClickTale,analytics,2006
5a5c533c942d09e481c157f6,Twipster,mobile,2007
5a5c533c942d09e481c157f7,Twenga,ecommerce,2006
5a5c533c942d09e481c157f8,TradeKing,web,2005
5a5c533c942d09e481c157f9,Viadeo,social,2004
5a5c533c942d09e481c157fa,Jacked,advertising,2006
5a5c533c942d09e481c157fb,FFWD Wheels,web,2006
5a5c533c942d09e481c157fc,Masala,web,
5a5c533c942d09e481c157fd,CafeMom,network_hosting,2006
5a5c533c942d09e481c157fe,Shipwire,enterprise,2006
5a5c533c942d09e481c157ff,FastBooking,web,2000
5a5c533c942d09e481c15800,Takkle,web,
5a5c533c942d09e481c15801,GrubHub,hospitality,2004
5a5c533c942d09e481c15802,Skyscanner,web,2001
5a5c533c942d09e481c15803,Uversity,social,2007
5a5c533c942d09e481c15804,Iotum,web,2003
5a5c533c942d09e481c15805,eBurl,web,2007
5a5c533c942d09e481c15806,WildTangent,games_video,1998
5a5c533c942d09e481c15807,Gilt Groupe,fashion,2007
5a5c533c942d09e481c15808,LiveJournal,software,1999
5a5c533c942d09e481c15809,BeliefNet,web,2008
5a5c533c942d09e481c1580a,Vemo,enterprise,2005
5a5c533c942d09e481c1580b,Smilebox,photo_video,2000
5a5c533c942d09e481c1580c,Bahu,web,2007
5a5c533c942d09e481c1580d,Spokeo,web,2006
5a5c533c942d09e481c1580e,Hakia,search,2004
5a5c533c942d09e481c1580f,AppJet,web,2007
5a5c533c942d09e481c15810,Kosmix,web,2005
5a5c533c942d09e481c15811,Seethroo,web,2007
5a5c533c942d09e481c15812,Summize,search,2006
5a5c533c942d09e481c15813,Match,web,1995
5a5c533c942d09e481c15814,Goodreads,web,2007
5a5c533c942d09e481c15815,Ribbit,mobile,2005
5a5c533c942d09e481c15816,BustedTees,web,2004
5a5c533c942d09e481c15817,Jobvite,social,2003
5a5c533c942d09e481c15818,HubPages,web,2006
5a5c533c942d09e481c15819,Squidoo,web,2005
5a5c533c942d09e481c1581a,ideeli,ecommerce,2007
5a5c533c942d09e481c1581b,Streamezzo,mobile,2004
5a5c533c942d09e481c1581c,Shoeboxed,web,2007
5a5c533c942d09e481c1581d,Vyew,web,2004
5a5c533c942d09e481c1581e,GoLark,web,2007
5a5c533c942d09e481c1581f,WeShow,games_video,2007
5a5c533c942d09e481c15820,Qik,mobile,2006
5a5c533c942d09e481c15821,Flixwagon,mobile,2007
5a5c533c942d09e481c15822,Chictini,network_hosting,2007
5a5c533c942d09e481c15823,Picktastic,games_video,2007
5a5c533c942d09e481c15824,CareFlash,web,2007
5a5c533c942d09e481c15825,PlayFirst,games_video,2004
5a5c533c942d09e481c15826,Libersy,ecommerce,2006
5a5c533c942d09e481c15827,RipCode,software,2006
5a5c533c942d09e481c15828,Deem,ecommerce,2000
5a5c533c942d09e481c15829,CDNetworks,network_hosting,2000
5a5c533c942d09e481c1582a,RivalSoft,enterprise,2007
5a5c533c942d09e481c1582b,KAYAK,search,2004
5a5c533c942d09e481c1582c,Mobissimo,search,2003
5a5c533c942d09e481c1582d,Acquia,enterprise,2007
5a5c533c942d09e481c1582e,REVShare,web,
5a5c533c942d09e481c1582f,Chumby,hardware,2005
5a5c533c942d09e481c15830,GlobalGiving,web,2003
5a5c533c942d09e481c15831,Apple,hardware,1976
5a5c533c942d09e481c15832,GridPoint,cleantech,2003
5a5c533c942d09e481c15833,UGOBE,hardware,
5a5c533c942d09e481c15834,HelioVolt,cleantech,2001
5a5c533c942d09e481c15835,Etsy,ecommerce,2005
5a5c533c942d09e481c15836,Ausra,cleantech,
